"HGNC symbol","Aliases","Common name","Description","Cytogenetic Location","OMIM","Ensembl","UniProt/Swiss-Prot","Entrez Gene","UniGene"
"LEP","OB; OBS; LEPD","leptin","This gene encodes a protein that is secreted by white adipocytes, and which plays a major role in the regulation of body weight. This protein, which acts through the leptin receptor, functions as part of a signaling pathway that can inhibit food intake and/or regulate energy expenditure to maintain constancy of the adipose mass. This protein also has several endocrine functions, and is involved in the regulation of immune and inflammatory responses, hematopoiesis, angiogenesis and wound healing. Mutations in this gene and/or its regulatory regions cause severe obesity, and morbid obesity with hypogonadism. This gene has also been linked to type 2 diabetes mellitus development. [provided by RefSeq, Jul 2008]","7q32.1","164160","ENSG00000174697","A4D0Y8_HUMAN","3952","194236"
"LEPR","OBR; OB-R; CD295; LEP-R; LEPRD","leptin receptor","The protein encoded by this gene belongs to the gp130 family of cytokine receptors that are known to stimulate gene transcription via activation of cytosolic STAT proteins. This protein is a receptor for leptin (an adipocyte-specific hormone that regulates body weight), and is involved in the regulation of fat metabolism, as well as in a novel hematopoietic pathway that is required for normal lymphopoiesis. Mutations in this gene have been associated with obesity and pituitary dysfunction. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. It is noteworthy that this gene and LEPROT gene (GeneID:54741) share the same promoter and the first 2 exons, however, encode distinct proteins (PMID:9207021).[provided by RefSeq, Nov 2010]","1p31.3","601007","ENSG00000116678","LEPR_HUMAN","3953","23581"
"LIG1","","DNA ligase 1","This gene encodes a member of the ATP-dependent DNA ligase protein family. The encoded protein functions in DNA replication, recombination, and the base excision repair process. Mutations in this gene that lead to DNA ligase I deficiency result in immunodeficiency and increased sensitivity to DNA-damaging agents. Disruption of this gene may also be associated with a variety of cancers. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]","19q13.33","126391","ENSG00000105486","B4DM52_HUMAN","3978","1770"
"LIG3","LIG2","DNA ligase 3","This gene is a member of the DNA ligase family. Each member of this family encodes a protein that catalyzes the joining of DNA ends but they each have a distinct role in DNA metabolism. The protein encoded by this gene is involved in excision repair and is located in both the mitochondria and nucleus, with translation initiation from the upstream start codon allowing for transport to the mitochondria and translation initiation from a downstream start codon allowing for transport to the nucleus. Additionally, alternate transcriptional splice variants, encoding different isoforms, have been characterized. [provided by RefSeq, Jul 2008]","17q12","600940","ENSG00000005156","DNLI3_HUMAN","3980","100299"
"LIG4","LIG4S","DNA ligase 4","The protein encoded by this gene is a DNA ligase that joins single-strand breaks in a double-stranded polydeoxynucleotide in an ATP-dependent reaction. This protein is essential for V(D)J recombination and DNA double-strand break (DSB) repair through nonhomologous end joining (NHEJ). This protein forms a complex with the X-ray repair cross complementing protein 4 (XRCC4), and further interacts with the DNA-dependent protein kinase (DNA-PK). Both XRCC4 and DNA-PK are known to be required for NHEJ. The crystal structure of the complex formed by this protein and XRCC4 has been resolved. Defects in this gene are the cause of LIG4 syndrome. Alternatively spliced transcript variants encoding the same protein have been observed. [provided by RefSeq, Jul 2008]","13q33.3","601837","ENSG00000174405","A0A024RE06_HUMAN","3981","166091"
"LINC00032","C9orf14; NCRNA00032","long intergenic non-protein coding RNA 32","","9p21.2","","ENSG00000283945","","158035","201554"
"LINC01088","","long intergenic non-protein coding RNA 1088","","4q21.21","","","","100505875","480055"
"LINC01135","","long intergenic non-protein coding RNA 1135","","1p32.1","","ENSG00000234807","","100131060","680604"
"LINC01182","","long intergenic non-protein coding RNA 1182","","4p15.33","","ENSG00000250634","","101929071","543714"
"LINC01234","LCAL84; onco-lncRNA-32","long intergenic non-protein coding RNA 1234","","12q24.13","","ENSG00000249550","","100506465","211461"
"LINC01237","","long intergenic non-protein coding RNA 1237","","2q37.3","","ENSG00000233806","","101927289","130180"
"LINC01250","","long intergenic non-protein coding RNA 1250","","2p25.3","","ENSG00000234423","","101927554","638446"
"LINC01258","","long intergenic non-protein coding RNA 1258","","4p14","","ENSG00000249534","","101928776","586147"
"LINC01446","GS1-179L18.1","long intergenic non-protein coding RNA 1446","","7p12.1","","ENSG00000205628","","401337","531378"
"LINC01599","C14orf183","long intergenic non-protein coding RNA 1599","","14q21.3","","","","196913","406934"
"LINC01901","","long intergenic non-protein coding RNA 1901","","18q12.3","","","","105372080",""
"LINC01902","","long intergenic non-protein coding RNA 1902","","18q12.3","","","","105372079",""
"LINC02032","","long intergenic non-protein coding RNA 2032","","3q24","","ENSG00000241131","","100507461","112623"
"LINC02045","","long intergenic non-protein coding RNA 2045","","3q24","","","","105374146",""
"LINC02095","","long intergenic non-protein coding RNA 2095","","17q24.3","","ENSG00000228639","","102723505","547482"
"LINC02143","","long intergenic non-protein coding RNA 2143","","5q34","","ENSG00000253236","","101927835","735171"
"LINC02227","","long intergenic non-protein coding RNA 2227","","5q33.3","","ENSG00000276778","","101927697","483960"
"LINC02331","","long intergenic non-protein coding RNA 2331","","14q22.2","","","","105370503",""
"LINC02391","","long intergenic non-protein coding RNA 2391","","12q22","","","","101930023",""
"LINC02463","","long intergenic non-protein coding RNA 2463","","12q24.21","","","","105370004",""
"LINC02476","LVCAT5","long intergenic non-protein coding RNA 2476","","7q31.31","","ENSG00000225546","","105375475","566654"
"LINGO2","LERN3; LRRN6C","leucine rich repeat and Ig domain containing 2","","9p21.2-p21.1","609793","ENSG00000174482","LIGO2_HUMAN","158038","444665"
"LIPC","HL; HTGL; LIPH; HDLCQ12","lipase C, hepatic type","LIPC encodes hepatic triglyceride lipase, which is expressed in liver. LIPC has the dual functions of triglyceride hydrolase and ligand/bridging factor for receptor-mediated lipoprotein uptake. [provided by RefSeq, Jul 2008]","15q21.3","151670","ENSG00000166035","A6H8L5_HUMAN","3990","654472"
"LMCD1-AS1","","LMCD1 antisense RNA 1 (head to head)","","3p25.3","","ENSG00000227110","","100288428","651576"
"LMNA","FPL; IDC; LFP; CDDC; EMD2; FPLD; HGPS; LDP1; LMN1; LMNC; MADA; PRO1; CDCD1; CMD1A; FPLD2; LMNL1; CMT2B1; LGMD1B","lamin A/C","The nuclear lamina consists of a two-dimensional matrix of proteins located next to the inner nuclear membrane. The lamin family of proteins make up the matrix and are highly conserved in evolution. During mitosis, the lamina matrix is reversibly disassembled as the lamin proteins are phosphorylated. Lamin proteins are thought to be involved in nuclear stability, chromatin structure and gene expression. Vertebrate lamins consist of two types, A and B. Alternative splicing results in multiple transcript variants. Mutations in this gene lead to several diseases: Emery-Dreifuss muscular dystrophy, familial partial lipodystrophy, limb girdle muscular dystrophy, dilated cardiomyopathy, Charcot-Marie-Tooth disease, and Hutchinson-Gilford progeria syndrome. [provided by RefSeq, Apr 2012]","1q22","150330","ENSG00000160789","LMNA_HUMAN","4000","594444"
"LMO4","","LIM domain only 4","This gene encodes a cysteine-rich protein that contains two LIM domains but lacks a DNA-binding homeodomain. The encoded protein may play a role as a transcriptional regulator or as an oncogene. [provided by RefSeq, Aug 2008]","1p22.3","603129","ENSG00000143013","LMO4_HUMAN","8543","436792"
"LMX1B","NPS1; LMX1.2","LIM homeobox transcription factor 1 beta","This gene encodes a member of LIM-homeodomain family of proteins containing two N-terminal zinc-binding LIM domains, 1 homeodomain, and a C-terminal glutamine-rich domain. It functions as a transcription factor, and is essential for the normal development of dorsal limb structures, the glomerular basement membrane, the anterior segment of the eye, and dopaminergic and serotonergic neurons. Mutations in this gene are associated with nail-patella syndrome. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2010]","9q33.3","602575","ENSG00000136944","B7ZLH2_HUMAN","4010","129133"
"LOC100506929","","uncharacterized LOC100506929","","1q43","","","","100506929",""
"LOC100631378","","uncharacterized 100631378","","19q13.13","","ENSG00000225868","","100631378","726940"
"LOC101059906","","collagen alpha-2(IV) chain-like","","11p15.5","","","","101059906",""
"LOC101927245","","vegetative cell wall protein gp1-like","","8q22.3","","","","101927245",""
"LOC101927668","","uncharacterized LOC101927668","","7p21.1","","","","101927668","715900"
"LOC101928226","","uncharacterized LOC101928226","","1q44","","","","101928226",""
"LOC101928977","","uncharacterized LOC101928977","","1p13.1","","","","101928977","627914"
"LOC101929628","","uncharacterized LOC101929628","","8q12.3","","","","101929628","116324"
"LOC102723654","","uncharacterized LOC102723654","","5q23.3","","","","102723654",""
"LOC102723834","","uncharacterized LOC102723834","","1q42.12","","","","102723834","634554"
"LOC102724929","","uncharacterized LOC102724929","","9q33.1","","","","102724929",""
"LOC105370031","","uncharacterized LOC105370031","","12q24.31","","","","105370031",""
"LOC105370194","","uncharacterized LOC105370194","","13q14.13","","","","105370194",""
"LOC105370656","","uncharacterized LOC105370656","","14q32.2","","","","105370656",""
"LOC105371093","","uncharacterized LOC105371093","","16p13.12","","","","105371093",""
"LOC105372161","","uncharacterized LOC105372161","","18q21.33","","","","105372161",""
"LOC105372352","CTB-32O4.2; CTB-32O4.3; CTB-32O4.4","uncharacterized LOC105372352","","19q12","","ENSG00000267498","","105372352",""
"LOC105372507","","uncharacterized LOC105372507","","20p13","","","","105372507",""
"LOC105373215","","uncharacterized LOC105373215","","1q42.3","","","","105373215",""
"LOC105373220","","uncharacterized LOC105373220","","1q43","","","","105373220",""
"LOC105373714","","uncharacterized LOC105373714","","2q24.1","","","","105373714",""
"LOC105373938","","uncharacterized LOC105373938","","2q37.2","","","","105373938",""
"LOC105374430","","uncharacterized LOC105374430","","4p13","","","","105374430",""
"LOC105374956","","uncharacterized LOC105374956","","6p22.3","","","","105374956","561599"
"LOC105375091","","uncharacterized LOC105375091","","6p12.2","","","","105375091",""
"LOC105375494","","uncharacterized LOC105375494","","7q32.1","","","","105375494",""
"LOC105375670","","uncharacterized LOC105375670","","8q22.2-q22.3","","","","105375670",""
"LOC105375731","","uncharacterized LOC105375731","","8q24.12","","","","105375731",""
"LOC105375856","","uncharacterized LOC105375856","","8q12.1","","","","105375856",""
"LOC105376360","","uncharacterized LOC105376360","","10p15.2","","","","105376360","212226"
"LOC105376622","","uncharacterized LOC105376622","","11p13","","","","105376622",""
"LOC105376823","","uncharacterized LOC105376823","","1p36.13","","","","105376823",""
"LOC105377329","","uncharacterized LOC105377329","","4q22.1","","","","105377329",""
"LOC105377356","","uncharacterized LOC105377356","","4q24-q25","","","","105377356",""
"LOC105377519","","uncharacterized LOC105377519","","4q32.3","","","","105377519",""
"LOC105377739","","uncharacterized LOC105377739","","5q35.2","","","","105377739",""
"LOC105377865","","uncharacterized LOC105377865","","6q14.1","","","","105377865",""
"LOC105378093","","uncharacterized LOC105378093","","6q26","","","","105378093",""
"LOC105378102","","uncharacterized LOC105378102","","6q26","","","","105378102",""
"LOC105378178","","uncharacterized LOC105378178","","14q21.3","","","","105378178",""
"LOC105378228","","uncharacterized LOC105378228","","5q33.1","","","","105378228",""
"LOC105378852","","uncharacterized LOC105378852","","1p22.2","","","","105378852",""
"LOC105378963","","uncharacterized LOC105378963","","5q11.2","","","","105378963",""
"LOC107984215","","uncharacterized LOC107984215","","10p12.2","","","","107984215",""
"LOC107984303","","uncharacterized LOC107984303","","11p15.4","","","","107984303",""
"LOC107984390","","uncharacterized LOC107984390","","11q23.2","","","","107984390",""
"LOC107984897","","uncharacterized LOC107984897","","16q23.1","","","","107984897",""
"LOC107985064","","uncharacterized LOC107985064","","17q21.2","","","","107985064",""
"LOC107985305","","uncharacterized LOC107985305","","19q13.31-q13.32","","","","107985305",""
"LOC107985988","","uncharacterized LOC107985988","","2q36.1","","","","107985988",""
"LOC107986150","","uncharacterized LOC107986150","","3q26.1","","","","107986150",""
"LOC107986178","","uncharacterized LOC107986178","","4p15.33","","","","107986178",""
"LOC107986820","","uncharacterized LOC107986820","","7q21.3","","","","107986820",""
"LOC107987043","","uncharacterized LOC107987043","","9p24.3-p24.2","","","","107987043",""
"LOC107987056","","uncharacterized LOC107987056","","9p21.3","","","","107987056",""
"LOC107987209","","uncharacterized LOC107987209","","14q32.33","","","","107987209",""
"LOC107987427","","uncharacterized LOC107987427","","","","","","107987427",""
"LOC341056","","SUMO1 activating enzyme subunit 1 pseudogene","","11q24.1","","","","341056","620309"
"LOC387770","","tripartite motif containing 49D1 pseudogene","","11p11.12","","","","387770",""
"LOC400627","","uncharacterized LOC400627","","17q25.3","","","","400627","591201"
"LOC400655","","uncharacterized LOC400655","","18q22.3","","ENSG00000263711","","400655","579378"
"LOC643542","","uncharacterized LOC643542","","18q22.1","","ENSG00000265533","","643542","652901"
"LONP1","LON; LONP; PIM1; hLON; LonHS; CODASS; PRSS15","lon peptidase 1, mitochondrial","This gene encodes a mitochondrial matrix protein that belongs to the Lon family of ATP-dependent proteases. This protein mediates the selective degradation of misfolded, unassembled or oxidatively damaged polypeptides in the mitochondrial matrix. It may also have a chaperone function in the assembly of inner membrane protein complexes, and participate in the regulation of mitochondrial gene expression and maintenance of the integrity of the mitochondrial genome. Decreased expression of this gene has been noted in a patient with hereditary spastic paraplegia (PMID:18378094). Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Feb 2013]","19p13.3","605490","ENSG00000196365","LONM_HUMAN","9361","350265"
"LOX","AAT10","lysyl oxidase","This gene encodes a member of the lysyl oxidase family of proteins. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed to generate a regulatory propeptide and the mature enzyme. The copper-dependent amine oxidase activity of this enzyme functions in the crosslinking of collagens and elastin, while the propeptide may play a role in tumor suppression. In addition, defects in this gene have been linked with predisposition to thoracic aortic aneurysms and dissections. [provided by RefSeq, Jul 2016]","5q23.1","153455","ENSG00000113083","B0AZT2_HUMAN","4015","102267"
"LPL","LIPD; HDLCQ11","lipoprotein lipase","LPL encodes lipoprotein lipase, which is expressed in heart, muscle, and adipose tissue. LPL functions as a homodimer, and has the dual functions of triglyceride hydrolase and ligand/bridging factor for receptor-mediated lipoprotein uptake. Severe mutations that cause LPL deficiency result in type I hyperlipoproteinemia, while less extreme mutations in LPL are linked to many disorders of lipoprotein metabolism. [provided by RefSeq, Jul 2008]","8p21.3","609708","ENSG00000175445","A0A1B1RVA9_HUMAN","4023","180878"
"LRIF1","RIF1; C1orf103","ligand dependent nuclear receptor interacting factor 1","","1p13.3","615354","ENSG00000121931","LRIF1_HUMAN","55791","25245"
"LRP1B","LRP-1B; LRPDIT; LRP-DIT","LDL receptor related protein 1B","This gene encodes a member of the low density lipoprotein (LDL) receptor family. These receptors play a wide variety of roles in normal cell function and development due to their interactions with multiple ligands. Disruption of this gene has been reported in several types of cancer. [provided by RefSeq, Jun 2016]","2q22.1-q22.2","608766","ENSG00000168702","LRP1B_HUMAN","53353","656461"
"LRRC14","LRRC14A","leucine rich repeat containing 14","This gene encodes a leucine-rich repeat-containing protein. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Dec 2012]","8q24.3","","ENSG00000160959","LRC14_HUMAN","9684","459391"
"LRRC56","","leucine rich repeat containing 56","","11p15.5","","ENSG00000161328","LRC56_HUMAN","115399","567655"
"LTA","LT; TNFB; TNFSF1; TNLG1E","lymphotoxin alpha","The encoded protein, a member of the tumor necrosis factor family, is a cytokine produced by lymphocytes. The protein is highly inducible, secreted, and forms heterotrimers with lymphotoxin-beta which anchor lymphotoxin-alpha to the cell surface. This protein also mediates a large variety of inflammatory, immunostimulatory, and antiviral responses, is involved in the formation of secondary lymphoid organs during development and plays a role in apoptosis. Genetic variations in this gene are associated with susceptibility to leprosy type 4, myocardial infarction, non-Hodgkin's lymphoma, and psoriatic arthritis. Alternatively spliced transcript variants have been observed for this gene. [provided by RefSeq, Jul 2012]","6p21.33","153440","ENSG00000226979","Q5STV3_HUMAN","4049","36"
"LY6G6F","G6f; NG32; LY6G6; LY6G6D; C6orf21","lymphocyte antigen 6 family member G6F","The human G6f protein is a type I transmembrane protein belonging to the immunoglobin (Ig) superfamily, which is comprised of cell-surface proteins involved in the immune system and cellular recognition (de Vet et al., 2003 [PubMed 12852788]).[supplied by OMIM, Mar 2008]","6p21.33","611404","ENSG00000204424","A0A1L6Z9Z3_HUMAN","259215","591794"
"LY86","MD1; MD-1; MMD-1; dJ80N2.1","lymphocyte antigen 86","","6p25.1","605241","ENSG00000112799","LY86_HUMAN","9450","653138"
"LYN","JTK8; p53Lyn; p56Lyn","LYN proto-oncogene, Src family tyrosine kinase","This gene encodes a tyrosine protein kinase, which maybe involved in the regulation of mast cell degranulation, and erythroid differentiation. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2011]","8q12.1","165120","ENSG00000254087","A8K379_HUMAN","4067","491767"
"LYPD6","","LY6/PLAUR domain containing 6","Members of the LY6 protein family (see SLURP1; MIM 606119), such as LYPD6, have at least one 80-amino acid LU domain that contains 10 conserved cysteines with a defined disulfide-bonding pattern (Zhang et al., 2010 [PubMed 19653121]).[supplied by OMIM, Apr 2010]","2q23.2","613359","ENSG00000187123","LYPD6_HUMAN","130574","21929"
"LYPLAL1","Q96AV0","lysophospholipase like 1","","1q41","616548","ENSG00000143353","LYPL1_HUMAN","127018","657617"
"MACROD2","C2orf133; C20orf133","MACRO domain containing 2","","20p12.1","611567","ENSG00000172264","MACD2_HUMAN","140733","661576"
"MADD","DENN; IG20; RAB3GEP","MAP kinase activating death domain","Tumor necrosis factor alpha (TNF-alpha) is a signaling molecule that interacts with one of two receptors on cells targeted for apoptosis. The apoptotic signal is transduced inside these cells by cytoplasmic adaptor proteins. The protein encoded by this gene is a death domain-containing adaptor protein that interacts with the death domain of TNF-alpha receptor 1 to activate mitogen-activated protein kinase (MAPK) and propagate the apoptotic signal. It is membrane-bound and expressed at a higher level in neoplastic cells than in normal cells. Several transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Jul 2008]","11p11.2","603584","ENSG00000110514","A0A0A0MRB5_HUMAN","8567","82548"
"MAN2B2","","mannosidase alpha class 2B member 2","","4p16.1","","ENSG00000013288","B7Z754_HUMAN","23324","188464"
"MAN2C1","MANA; MANA1; MAN6A8","mannosidase alpha class 2C member 1","","15q24.2","154580","ENSG00000140400","A0A140VJN9_HUMAN","4123","26232"
"MAP2K1","CFC3; MEK1; MKK1; MAPKK1; PRKMK1","mitogen-activated protein kinase kinase 1","The protein encoded by this gene is a member of the dual specificity protein kinase family, which acts as a mitogen-activated protein (MAP) kinase kinase. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act as an integration point for multiple biochemical signals. This protein kinase lies upstream of MAP kinases and stimulates the enzymatic activity of MAP kinases upon wide variety of extra- and intracellular signals. As an essential component of MAP kinase signal transduction pathway, this kinase is involved in many cellular processes such as proliferation, differentiation, transcription regulation and development. [provided by RefSeq, Jul 2008]","15q22.31","176872","ENSG00000169032","A4QPA9_HUMAN","5604","145442"
"MAP3K7","CSCF; FMD2; TAK1; MEKK7; TGF1a","mitogen-activated protein kinase kinase kinase 7","The protein encoded by this gene is a member of the serine/threonine protein kinase family. This kinase mediates the signaling transduction induced by TGF beta and morphogenetic protein (BMP), and controls a variety of cell functions including transcription regulation and apoptosis. In response to IL-1, this protein forms a kinase complex including TRAF6, MAP3K7P1/TAB1 and MAP3K7P2/TAB2; this complex is required for the activation of nuclear factor kappa B. This kinase can also activate MAPK8/JNK, MAP2K4/MKK4, and thus plays a role in the cell response to environmental stresses. Four alternatively spliced transcript variants encoding distinct isoforms have been reported. [provided by RefSeq, Jul 2008]","6q15","602614","ENSG00000135341","M3K7_HUMAN","6885","594838"
"MAPK1","ERK; p38; p40; p41; ERK2; ERT1; ERK-2; MAPK2; PRKM1; PRKM2; P42MAPK; p41mapk; p42-MAPK","mitogen-activated protein kinase 1","This gene encodes a member of the MAP kinase family. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act as an integration point for multiple biochemical signals, and are involved in a wide variety of cellular processes such as proliferation, differentiation, transcription regulation and development. The activation of this kinase requires its phosphorylation by upstream kinases. Upon activation, this kinase translocates to the nucleus of the stimulated cells, where it phosphorylates nuclear targets. One study also suggests that this protein acts as a transcriptional repressor independent of its kinase activity. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. Two alternatively spliced transcript variants encoding the same protein, but differing in the UTRs, have been reported for this gene. [provided by RefSeq, Jan 2014]","22q11.22","176948","ENSG00000100030","MK01_HUMAN","5594","431850"
"MAPK3","ERK1; ERT2; ERK-1; PRKM3; P44ERK1; P44MAPK; HS44KDAP; HUMKER1A; p44-ERK1; p44-MAPK","mitogen-activated protein kinase 3","The protein encoded by this gene is a member of the MAP kinase family. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act in a signaling cascade that regulates various cellular processes such as proliferation, differentiation, and cell cycle progression in response to a variety of extracellular signals. This kinase is activated by upstream kinases, resulting in its translocation to the nucleus where it phosphorylates nuclear targets. Alternatively spliced transcript variants encoding different protein isoforms have been described. [provided by RefSeq, Jul 2008]","16p11.2","601795","ENSG00000102882","L7RXH5_HUMAN","5595","861"
"MAPKAP1","MIP1; SIN1; JC310; SIN1b; SIN1g","mitogen-activated protein kinase associated protein 1","This gene encodes a protein that is highly similar to the yeast SIN1 protein, a stress-activated protein kinase. Alternatively spliced transcript variants encoding distinct isoforms have been described. Alternate polyadenylation sites as well as alternate 3' UTRs have been identified for transcripts of this gene. [provided by RefSeq, Jul 2008]","9q33.3","610558","ENSG00000119487","A0A024R863_HUMAN","79109","495138"
"MAVS","IPS1; VISA; IPS-1; CARDIF","mitochondrial antiviral signaling protein","This gene encodes an intermediary protein necessary in the virus-triggered beta interferon signaling pathways. It is required for activation of transcription factors which regulate expression of beta interferon and contributes to antiviral immunity. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2011]","20p13","609676","ENSG00000088888","MAVS_HUMAN","57506","570362"
"MBD1","RFT; PCM1; CXXC3","methyl-CpG binding domain protein 1","The protein encoded by this gene is a member of a family of nuclear proteins related by the presence of a methyl-CpG binding domain (MBD). These proteins are capable of binding specifically to methylated DNA, and some members can also repress transcription from methylated gene promoters. This protein contains multiple domains: MBD at the N-terminus that functions both in binding to methylated DNA and in protein interactions; several CXXC-type zinc finger domains that mediate binding to non-methylated CpG dinucleotides; transcriptional repression domain (TRD) at the C-terminus that is involved in transcription repression and in protein interactions. Numerous alternatively spliced transcript variants encoding different isoforms have been noted for this gene.[provided by RefSeq, Feb 2011]","18q21.1","156535","ENSG00000141644","A8K654_HUMAN","4152","405610"
"MBD2","DMTase; NY-CO-41","methyl-CpG binding domain protein 2","DNA methylation is the major modification of eukaryotic genomes and plays an essential role in mammalian development. Human proteins MECP2, MBD1, MBD2, MBD3, and MBD4 comprise a family of nuclear proteins related by the presence in each of a methyl-CpG binding domain (MBD). Each of these proteins, with the exception of MBD3, is capable of binding specifically to methylated DNA. MECP2, MBD1 and MBD2 can also repress transcription from methylated gene promoters. The protein encoded by this gene may function as a mediator of the biological consequences of the methylation signal. It is also reported that the this protein functions as a demethylase to activate transcription, as DNA methylation causes gene silencing. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2011]","18q21.2","603547","ENSG00000134046","A0A024R2B8_HUMAN","8932","25674"
"MCAM","CD146; MUC18","melanoma cell adhesion molecule","","11q23.3","155735","ENSG00000076706","A0A024R3I5_HUMAN","4162","599039"
"MDGA2","MAMDC1; c14_5286","MAM domain containing glycosylphosphatidylinositol anchor 2","","14q21.3","611128","ENSG00000139915","MDGA2_HUMAN","161357","436380"
"MDM2","HDMX; hdm2; ACTFS","MDM2 proto-oncogene","This gene encodes a nuclear-localized E3 ubiquitin ligase. The encoded protein can promote tumor formation by targeting tumor suppressor proteins, such as p53, for proteasomal degradation. This gene is itself transcriptionally-regulated by p53. Overexpression or amplification of this locus is detected in a variety of different cancers. There is a pseudogene for this gene on chromosome 2. Alternative splicing results in a multitude of transcript variants, many of which may be expressed only in tumor cells. [provided by RefSeq, Jun 2013]","12q15","164785","ENSG00000135679","A0A0A8KB75_HUMAN","4193","484551"
"MECOM","EVI1; MDS1; KMT8E; PRDM3; RUSAT2; MDS1-EVI1; AML1-EVI-1","MDS1 and EVI1 complex locus","The protein encoded by this gene is a transcriptional regulator and oncoprotein that may be involved in hematopoiesis, apoptosis, development, and cell differentiation and proliferation. The encoded protein can interact with CTBP1, SMAD3, CREBBP, KAT2B, MAPK8, and MAPK9. This gene can undergo translocation with the AML1 gene, resulting in overexpression of this gene and the onset of leukemia. Several transcript variants encoding a few different isoforms have been found for this gene. [provided by RefSeq, Mar 2011]","3q26.2","165215","ENSG00000085276","A0A0C3SFZ7_HUMAN","2122","744090"
"MEFV","FMF; MEF; TRIM20","MEFV, pyrin innate immunity regulator","This gene encodes a protein, also known as pyrin or marenostrin, that is an important modulator of innate immunity. Mutations in this gene are associated with Mediterranean fever, a hereditary periodic fever syndrome. [provided by RefSeq, Jul 2008]","16p13.3","608107","ENSG00000103313","D2DTW2_HUMAN","4210","632221"
"METTL1","TRM8; TRMT8; C12orf1; YDL201w","methyltransferase like 1","This gene is similar in sequence to the S. cerevisiae YDL201w gene. The gene product contains a conserved S-adenosylmethionine-binding motif and is inactivated by phosphorylation. Alternative splice variants encoding different protein isoforms have been described for this gene. A pseudogene has been identified on chromosome X. [provided by RefSeq, Jul 2008]","12q14.1","604466","ENSG00000037897","TRMB_HUMAN","4234","42957"
"MEX3A","RKHD4; MEX-3A","mex-3 RNA binding family member A","","1q22","611007","ENSG00000254726","MEX3A_HUMAN","92312","591496"
"MGP","NTI; GIG36; MGLAP","matrix Gla protein","This gene encodes a member of the osteocalcin/matrix Gla family of proteins. The encoded vitamin K-dependent protein is secreted by chondrocytes and vascular smooth muscle cells, and functions as a physiological inhibitor of ectopic tissue calcification. Carboxylation status of the encoded protein is associated with calcification of the vasculature in human patients with cardiovascular disease and calcification of the synovial membranes in osteoarthritis patients. Mutations in this gene cause Keutel syndrome in human patients, which is characterized by abnormal cartilage calcification, peripheral pulmonary stenosis and facial hypoplasia. [provided by RefSeq, Sep 2016]","12p12.3","154870","ENSG00000111341","A0A024RAX0_HUMAN","4256","365706"
"MIEF1","MID51; SMCR7L; HSU79252; dJ1104E15.3","mitochondrial elongation factor 1","","22q13.1","615497","ENSG00000100335","A0A024R1L3_HUMAN","54471","728085"
"MINPP1","MIPP; HIPER1; MINPP2","multiple inositol-polyphosphate phosphatase 1","This gene encodes multiple inositol polyphosphate phosphatase; an enzyme that removes 3-phosphate from inositol phosphate substrates. It is the only enzyme known to hydrolzye inositol pentakisphosphate and inositol hexakisphosphate. This enzyme also converts 2,3 bisphosphoglycerate (2,3-BPG) to 2-phosphoglycerate; an activity formerly thought to be exclusive to 2,3-BPG synthase/2-phosphatase (BPGM) in the Rapoport-Luebering shunt of the glycolytic pathway.[provided by RefSeq, Sep 2009]","10q23.2","605391","ENSG00000107789","MINP1_HUMAN","9562","121260"
"MIR4500HG","","MIR4500 host gene","","13q31.2","","ENSG00000228824","","642345","508337"
"MKL1","MAL; BSAC; MRTF-A","megakaryoblastic leukemia (translocation) 1","The protein encoded by this gene interacts with the transcription factor myocardin, a key regulator of smooth muscle cell differentiation. The encoded protein is predominantly nuclear and may help transduce signals from the cytoskeleton to the nucleus. This gene is involved in a specific translocation event that creates a fusion of this gene and the RNA-binding motif protein-15 gene. This translocation has been associated with acute megakaryocytic leukemia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2013]","22q13.1-q13.2","606078","ENSG00000196588","A4FUJ8_HUMAN","57591","654688"
"MKRN2","RNF62; HSPC070","makorin ring finger protein 2","This gene encodes a probable E3 ubiquitin ligase containing several zinc finger domains, that is a member of the makorin RING zinc-finger protein family. This gene overlaps the v-raf-1 murine leukemia viral oncogene homolog 1 (RAF1) gene in an antisense orientation and may have a co-regulatory function with RAF1. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2012]","3p25.2","608426","ENSG00000075975","MKRN2_HUMAN","23609","591666"
